"bundle id","bundle title","tag"
"77","Every Monday #39",NULL
"78","Friday Special #8",NULL
"79","The Paradoxical Bundle",NULL
"81","Every Monday #40",NULL
"84","Every Monday #41",NULL
"86","Hostile Reaction",NULL
"90","Friday Special #9",NULL
"92","Every Monday Bundle #42",NULL
"95","Strategic Storm Bundle",NULL
"99","Every Monday #43",NULL
"105","Blades of Janus Bundle",NULL
"116","Steel Warz Bundle",NULL
"118","Every Monday #44",NULL
"124","Friday Special #10",NULL
"125","Every Monday #45",NULL
"134","Darksiders Bundle",NULL
"135","Every Monday #46",NULL
"137","Times of War Bundle",NULL
"142","Heart Attack Bundle",NULL
"145","Every Monday #47",NULL
"150","Battle For Glory Bundle",NULL
"153","Friday Special #11",NULL
"155","Every Monday #48",NULL
"157","Dragon Rock Bundle",NULL
"163","Every Monday #49",NULL
"166","The Big Time Bundle",NULL
"167","Every Monday #50",NULL
"172","Friday Special #12",NULL
"174","Every Monday #51",NULL
"177","Hump Day Bundle",NULL
"182","Spring Rush Bundle",NULL
"186","Every Monday #52",NULL
"193","Every Monday #53",NULL
"200","Friday Special #13",NULL
"204","Every Monday #54",NULL
"205","Hump Day #2",NULL
"212","Every Monday #55",NULL
"219","The Evoland Bundle",NULL
"222","Every Monday #56",NULL
"227","Friday Special #14",NULL
"231","Every Monday #57",NULL
"234","Hump Day #3",NULL
"237","Adventure Mega Bundle",NULL
"240","Every Monday #58",NULL
"248","Every Monday #59",NULL
"256","Friday Special #15",NULL
"257","Flash Deadly Bundle",NULL
"259","Every Monday #60",NULL
"260","Hump Day #4",NULL
"277","Bedlam Bundle",NULL
"279","Every Monday #61",NULL
"281","Mayhem Mega Bundle",NULL
"295","Every Monday #62",NULL
"302","Friday Special #16",NULL
"307","Every Monday #63",NULL
"310","Hump Day #5",NULL
"317","Every Monday #64",NULL
"321","Weekend Getaway Pack",NULL
"322","Every Monday #65",NULL
"328","Friday Special #17",NULL
"331","Weekend Getaway Bundle",NULL
"332","Every Monday #66",NULL
"338","Hump Day #6",NULL
"340","Indiependence Bundle",NULL
"344","Every Monday #67",NULL
"347","Digital Disorder Bundle",NULL
"351","Every Monday #68",NULL
"354","Summer Insunity Bundle",NULL
"357","Friday Special #18",NULL
"363","Every Monday #69",NULL
"369","Hump Day #7",NULL
"373","Every Monday #70",NULL
"377","Kings and Knights Mega Bundle",NULL
"378","Hidden Mysteries Bundle",NULL
"381","Weekend Getaway Encore Bundle",NULL
"385","Every Monday #71",NULL
"390","Trapped Souls Bundle",NULL
"393","Friday Special #19",NULL
"398","Every Monday #72",NULL
