id,sku,type
1,212680,Game
2,246420,Game
3,18500,Game
4,232810,Game
5,200510,Game
6,215160,Game
7,221540,Game
8,249570,Game
9,219890,Game
10,219150,Game
11,237930,Game
12,233250,Game
13,239700,Game
14,232790,Game
15,204300,Game
16,231160,Game
17,107100,Game
18,279940,Game
19,204060,Game
20,250050,Game
21,293680,Game
22,220780,Game
23,209370,Game
24,42910,Game
25,238460,Game
26,115110,Game
27,279480,Game
28,231720,Game
29,207080,Game
30,237630,Game
31,247830,Game
32,6910,Game
33,277950,Game
34,258890,Game
35,206190,Game
36,268200,Game
37,7760,Game
38,251990,Game
39,250030,Game
40,4000,Game
41,272040,Game
42,250380,Game
43,266010,Game
44,248650,Game
45,302750,Game
46,80340,Game
47,232430,Game
48,221910,Game
49,204240,Game
50,292910,Game
51,203630,Game
52,34900,Game
53,262770,Game
54,275490,Game
55,269270,Game
56,80330,Game
57,80350,Game
58,222660,Game
59,300300,Game
60,201570,Game
61,219740,Game
62,237740,Game
63,105600,Game
64,222730,Game
65,8930,Game
66,239350,Game
67,246090,Game
68,209330,Game
69,290280,Game
70,295930,Game
71,250580,Game
72,241600,Game
73,220460,Game
74,33680,Game
75,70100,Game
76,277510,Game
77,91200,Game
78,282760,Game
79,266210,Game
80,25800,Game
81,40800,Game
82,244710,Game
83,231200,Game
84,253030,Game
85,96100,Game
86,1520,Game
87,248820,Game
88,269030,Game
89,233390,Game
90,206440,Game
91,249610,Game
92,223730,Game
93,239450,Game
94,270550,Game
95,299460,Game
96,80360,Game
97,33930,Game
98,246400,Game
99,271900,Game
100,8850,Game
101,26900,Game
102,20920,Game
103,285840,Game
104,296910,Game
105,264200,Game
106,205690,Game
107,3260,Game
108,303940,Game
109,209830,Game
110,211600,Game
111,221640,Game
112,281840,Game
113,239070,Game
114,312860,Game
115,115100,Game
116,246960,Game
117,247350,Game
118,280520,Game
119,238930,Game
120,264280,Game
121,242820,Game
122,263360,Game
123,15560,Game
124,284710,Game
125,221380,Game
126,239550,dlc
127,40400,Game
128,57300,Game
129,105000,Game
130,236730,Game
131,305920,Game
132,33900,Game
133,219540,Game
134,228320,Game
135,208400,Game
136,207650,Game
137,259390,Game
138,296050,Game
139,238910,Game
140,307170,Game
141,26800,Game
142,57640,Game
143,33610,Game
144,225260,Game
145,24740,Game
146,227860,Game
147,275470,Game
148,292570,Game
149,225420,Game
150,45500,Game
151,290710,Game
152,316670,dlc
153,242780,Game
154,24800,Game
155,4560,Game
156,228200,Game
157,9340,Game
158,20540,Game
159,241240,Game
160,247020,Game
161,292200,Game
162,108800,Game
163,261960,Game
164,50620,Game
